             0         1         2         3
0     0.708738  1.402812  0.844660  0.397766
1     0.402913  4.612822  0.621359  1.282803
2     0.407767  5.255385  0.592233  2.327600
3     0.417476  3.170860  0.757282  1.959157
4     0.417476  3.350194  0.805825  1.904490
5     0.393204  5.265704  0.601942  2.964549
6     0.417476  3.290911  0.655340  2.070783
7     0.417476  3.119081  0.805825  1.998653
8     0.407767  4.315758  0.635922  1.748598
9     0.383495  4.701181  0.621359  1.712276
10    0.417476  2.874230  0.766990  1.853671
11    0.398058  5.137878  0.601942  1.959211
12    0.417476  3.227450  0.766990  2.007878
13    0.757282  1.766487  0.674757  0.416383
14    0.417476  2.650238  0.805825  1.624495
15    0.490291  1.362135  0.810680  0.575956
16    0.393204  4.973510  0.606796  2.708978
17    0.737864  2.435627  0.912621  0.522634
18    0.388350  4.862076  0.572816  3.066488
19    0.398058  5.315916  0.606796  3.335052
20    0.388350  6.850535  0.665049  2.818413
21    0.388350  4.548594  0.606796  1.815864
22    0.417476  3.087214  0.805825  2.019358
23    0.398058  5.698699  0.538835  3.899345
24    0.490291  1.357710  0.825243  0.592137
25    0.441748  5.014627  0.640777  4.137968
26    0.388350  6.739316  0.611650  2.303897
27    0.708738  1.626624  0.917476  0.089831
28    0.417476  3.075818  0.805825  2.005137
29    0.417476  3.302763  0.800971  2.001140
30    0.417476  3.143424  0.786408  2.050575
31    0.417476  3.236589  0.805825  2.005404
32    0.412621  4.587933  0.645631  2.470740
33    0.781553  2.008759  0.898058  0.198395
34    0.417476  3.122554  0.805825  1.990942
35    0.563107  1.470373  0.815534  0.616502
36    0.427184  4.889980  0.635922  1.340698
37    0.417476  3.191280  0.805825  1.963286
38    0.417476  3.292265  0.781553  2.008035
39    0.553398  1.315121  0.796117  0.573286
40    0.407767  4.738715  0.592233  2.145346
41    0.427184  5.121228  0.631068  2.543806
42    0.407767  4.840282  0.660194  2.323489
43    0.417476  6.233221  0.669903  1.434862
44    0.446602  5.501621  0.650485  3.331913
45    0.742718  1.448812  0.766990  0.358540
46    0.398058  5.036365  0.606796  3.264628
47    0.417476  3.381886  0.786408  2.028896
48    0.417476  3.328322  0.805825  1.990053
49    0.708738  2.220120  0.980583  0.054688
50    0.417476  2.860086  0.805825  1.834159
51    0.407767  5.247144  0.572816  2.302013
52    0.407767  4.631030  0.611650  2.180372
53    0.417476  3.265814  0.805825  2.007950
54    0.786408  2.109317  0.834951  0.455342
55    0.635922  1.391892  0.825243  0.384229
56    0.417476  3.079635  0.805825  2.009954
57    0.635922  1.422348  0.844660  0.382041
58    0.412621  4.906350  0.645631  2.127957
59    0.398058  4.760682  0.616505  2.743556
60    0.402913  5.941901  0.626214  2.407327
61    0.417476  3.409183  0.805825  1.873183
62    0.417476  4.471980  0.645631  3.147932
63    0.402913  5.220917  0.592233  3.239850
64    0.393204  5.161084  0.558252  2.765470
65    0.378641  4.819335  0.650485  2.649175
66    0.398058  5.542212  0.601942  1.937340
67    0.417476  3.160053  0.805825  1.860106
68    0.417476  2.899194  0.805825  1.784340
